Name,Category,Broker,MessageSizeBytes,MessagesPerSecond,DurationSeconds,Sent,Processed,Lost,Backlog,Errors,Throughput,AverageLatencyMs,P95LatencyMs,MaxLatencyMs,IsDegraded,ErrorMessage
baseline-rabbitmq,baseline,RabbitMq,1024,1000,5,5000,5000,0,0,0,1000.00,3.84,5.02,56.46,False,
baseline-redis,baseline,Redis,1024,1000,5,5000,5000,0,0,0,1000.00,9.61,13.23,1107.77,False,
size-128b-rabbitmq,payload-size,RabbitMq,128,3000,5,15000,15000,0,0,0,3000.00,4.97,8.21,20.57,False,
size-128b-redis,payload-size,Redis,128,3000,5,15000,15000,0,0,0,3000.00,6.53,8.99,1036.24,False,
size-1kb-rabbitmq,payload-size,RabbitMq,1024,3000,5,15000,15000,0,0,0,3000.00,6.93,16.81,65.59,False,
size-1kb-redis,payload-size,Redis,1024,3000,5,15000,15000,0,0,0,3000.00,4.17,5.38,1052.33,False,
size-10kb-rabbitmq,payload-size,RabbitMq,10240,1000,5,5000,5000,0,0,0,1000.00,5.67,12.48,35.88,False,
size-10kb-redis,payload-size,Redis,10240,1000,5,5000,5000,0,0,0,1000.00,4.51,5.69,1084.18,False,
size-100kb-rabbitmq,payload-size,RabbitMq,102400,100,5,500,500,0,0,0,100.00,6.34,13.19,44.97,False,
size-100kb-redis,payload-size,Redis,102400,100,5,500,500,0,0,0,100.00,59.50,92.07,1074.94,False,
rate-1k-rabbitmq,stream-rate,RabbitMq,1024,1000,5,5000,5000,0,0,0,1000.00,3.35,4.11,15.32,False,
rate-1k-redis,stream-rate,Redis,1024,1000,5,5000,5000,0,0,0,1000.00,5.26,6.99,1009.52,False,
rate-5k-rabbitmq,stream-rate,RabbitMq,1024,5000,5,25000,25000,0,0,0,5000.00,6.60,10.15,24.08,False,
rate-5k-redis,stream-rate,Redis,1024,5000,5,25000,25000,0,0,0,5000.00,9.84,16.29,1084.63,False,
rate-10k-rabbitmq,stream-rate,RabbitMq,1024,10000,5,50000,23638,26362,26324,0,4727.60,3850.80,4699.06,4729.02,True,
rate-10k-redis,stream-rate,Redis,1024,10000,5,50000,50000,0,0,0,10000.00,15.36,23.30,1031.86,False,
